Config_Name,Bank_Choice,w_ano,w_good,w_neg,knn_k,hard_ano_th,hard_neg_th,supp_factor,mode,tau,morph_open_k,bg_floor_pct,R-FP-RegionCount,R-MissRate,R-PixelCoverage,P-AP,P-AUPRO,P-AUROC,P-F1,I-AUROC,I-AP,I-F1,Elapsed_s
"Grid-Weight [wa=1.5, wg=1.2, wn=0.5]",combined,1.5,1.2,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22712.0,0.002107728337236534,0.9842505780672293,0.48357534408569336,0.7000676977457537,0.9845677614212036,0.52,0.9175878220140515,0.9893506325253474,0.9687248898790964,3.0265
04. Three-Bank Baseline (PeakFP_825),peak_fp,1.0,1.0,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22203.0,0.002107728337236534,0.9838124597495271,0.48334795236587524,0.6995736375717502,0.9845333099365234,0.52,0.9175409836065574,0.9893342957813442,0.9687248898790964,2.9497
04. Three-Bank Baseline (Edge_1650),edge,1.0,1.0,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22067.0,0.002107728337236534,0.9842177420810391,0.48334333300590515,0.6994928740872247,0.984531819820404,0.52,0.9175409836065573,0.9893345384014174,0.9687248898790964,2.9501
"Grid-Weight [wa=1.2, wg=0.8, wn=0.5]",combined,1.2,0.8,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22818.0,0.002107728337236534,0.9842505780672293,0.48366838693618774,0.7003008696375607,0.9845718145370483,0.52,0.9174941451990634,0.9893422501029969,0.9687248898790964,2.8911
"Grid-Weight [wa=1.2, wg=1.0, wn=0.5]",combined,1.2,1.0,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22670.0,0.002107728337236534,0.9842441971074941,0.4835374355316162,0.7000274744130183,0.9845646619796753,0.52,0.9174707259953162,0.9893353722644556,0.9695023577264286,2.9738
"Softmax-Fusion [tau=0.1, wn=1.5]",combined,1.2,1.0,1.5,3,0.15,,1.2,softmax,0.1,0,0.0,20831.0,0.003747072599531616,0.9821974195727108,0.48240983486175537,0.680648359912207,0.9844381809234619,0.52,0.917400468384075,0.9893133283939515,0.9696485123329854,3.045
"Grid-Weight [wa=1.0, wg=0.8, wn=0.5]",combined,1.0,0.8,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22704.0,0.002107728337236534,0.9842505780672293,0.4835350811481476,0.7000221113368706,0.984561562538147,0.52,0.9172833723653396,0.9893157862837372,0.9687248898790964,2.9229
"Grid-Weight [wa=2.0, wg=1.5, wn=1.0]",combined,2.0,1.5,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22763.0,0.002107728337236534,0.9842505780672293,0.48355698585510254,0.7001528109329529,0.9845610857009888,0.52,0.9172599531615926,0.989313193921743,0.9687248898790964,2.8805
"Grid-Weight [wa=1.5, wg=1.5, wn=0.5]",combined,1.5,1.5,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22398.0,0.002107728337236534,0.9842268495491628,0.4834038019180298,0.6997538355947832,0.9845516681671143,0.52,0.9172599531615926,0.9893053622616179,0.9695023577264286,2.8975
02. Baseline Two-Stage: Good + Anomaly (2-Bank),combined,1.0,1.0,0.001,3,,,1.0,weighted_margin,0.1,0,0.0,22398.0,0.002107728337236534,0.9842268495491628,0.4834038019180298,0.6997538355947832,0.9845516085624695,0.52,0.9172599531615926,0.9893053622616179,0.9695023577264286,3.0195
03. Two-Stage + Hard Trigger (d_ano<=0.15),combined,1.0,1.0,0.001,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22398.0,0.002107728337236534,0.9842268495491628,0.4834038019180298,0.6997538355947832,0.9845516085624695,0.52,0.9172599531615926,0.9893053622616179,0.9695023577264286,3.0038
"Grid-Weight [wa=1.2, wg=1.2, wn=0.5]",combined,1.2,1.2,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22397.0,0.002107728337236534,0.9842268495491628,0.4834020137786865,0.6997523584673435,0.9845515489578247,0.52,0.9172599531615926,0.9893053622616179,0.9695023577264286,2.8867
"Softmax-Fusion [tau=0.1, wn=2.0]",combined,1.2,1.0,2.0,3,0.15,,1.2,softmax,0.1,0,0.0,20720.0,0.003747072599531616,0.981665276610272,0.4818970263004303,0.6748052902842487,0.9842814803123474,0.52,0.9172365339578454,0.9892877576695761,0.9704708199468945,3.053
"Grid-Weight [wa=1.5, wg=1.2, wn=0.8]",combined,1.5,1.2,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22692.0,0.002107728337236534,0.9842505780672293,0.4835079312324524,0.6999914309014648,0.9845568537712097,0.52,0.9172365339578453,0.9893104901259925,0.9687248898790964,2.8829
"Grid-Weight [wa=1.0, wg=1.0, wn=0.5]",combined,1.0,1.0,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22392.0,0.002107728337236534,0.9842268495491628,0.48339420557022095,0.6997409718080865,0.9845508933067322,0.52,0.9171896955503513,0.9892974784453448,0.9695023577264286,3.0023
"Grid-Weight [wa=1.5, wg=1.5, wn=0.8]",combined,1.5,1.5,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22384.0,0.002107728337236534,0.9842268495491628,0.48338961601257324,0.6997350155371684,0.9845501184463501,0.52,0.9171662763466043,0.9892945850233191,0.9695023577264286,2.9006
"Grid-Weight [wa=1.0, wg=1.2, wn=0.5]",combined,1.0,1.2,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22081.0,0.002107728337236534,0.9838108812731317,0.4832514524459839,0.6992231621316496,0.9845343828201294,0.52,0.9171194379391101,0.9892858128371987,0.9695023577264286,2.9252
"Grid-Weight [wa=1.0, wg=1.5, wn=0.5]",combined,1.0,1.5,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21741.0,0.002107728337236534,0.9837022823427521,0.4830622673034668,0.6981126212719568,0.9845083951950073,0.52,0.9170960187353631,0.9892816614345579,0.9695023577264286,2.9449
"Grid-Weight [wa=0.8, wg=1.2, wn=0.5]",combined,0.8,1.2,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21739.0,0.002107728337236534,0.9837022823427521,0.48306018114089966,0.6981102855428352,0.9845083355903625,0.52,0.9170960187353631,0.9892816614345579,0.9695023577264286,2.8987
