Suite,Config,I-AUROC,I-AP,I-F1,P-AUROC,P-AP,P-F1,P-AUPRO,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,Elapsed
2_Mahalanobis,Maha_Shrinkage_alpha_0.10,0.9179859484777518,0.989390550325669,0.9695023577264286,0.9845764494985108,0.4835440694019881,0.5191341992501971,0.92553217469371,0.002107728337236534,22379.0,0.9838170134835891,0.9631412394019697,33.37652277946472
2_Mahalanobis,Maha_Shrinkage_alpha_0.20,0.9179859484777518,0.9893903180371293,0.9695023577264286,0.9845765963222992,0.4835448442601553,0.5191341992501971,0.9255350080437132,0.002107728337236534,22379.0,0.9838170134835891,0.9631413889498863,32.97330045700073
2_Mahalanobis,Maha_Shrinkage_alpha_0.50,0.9180093676814989,0.9893926914843004,0.9695023577264286,0.9845771696822174,0.48354776691618545,0.5191361246424674,0.9255399737764192,0.002107728337236534,22376.0,0.9838170134835891,0.963142399932802,33.322853803634644
3_Whitening,Whitened_Angular_eps_1e-3,0.9178688524590164,0.9893745479316158,0.9695023577264286,0.9845856436465582,0.48359058236189306,0.5191439793607086,0.9256199754274488,0.002107728337236534,22356.0,0.983821350373172,0.96309039088139,33.036247968673706
3_Whitening,Whitened_Angular_eps_5e-3,0.9179625292740047,0.9893842906135785,0.9695023577264286,0.9845864035418952,0.4835950351416751,0.5191499086546164,0.9256278680530886,0.002107728337236534,22355.0,0.983821350373172,0.9630853878368059,33.30541634559631
3_Whitening,Whitened_Angular_eps_1e-2,0.9179859484777517,0.9893870423079318,0.9695023577264286,0.9845865195677024,0.48359590846966977,0.5191499086546164,0.9256309575367194,0.002107728337236534,22354.0,0.9838170134835891,0.9630865791267532,32.887983560562134
3_Whitening,Whitened_Cosine_eps_1e-3,0.9190632318501171,0.9895135010505243,0.9695512320764531,0.9846421722201518,0.48392019251088864,0.5192580899407021,0.9260489478821609,0.0029274004683840747,22104.0,0.9834445671382676,0.9624899890967611,33.22431182861328
3_Whitening,Whitened_L2_Norm_eps_1e-3,0.9179391100702576,0.9893831605169914,0.9695023577264286,0.9845807062742709,0.48356645981127605,0.5191390893348226,0.9255737199121319,0.002107728337236534,22379.0,0.9838170134835891,0.9631396856530907,33.07227110862732
3_Whitening,Whitened_L1_eps_1e-3,0.9180093676814989,0.9893909948534515,0.9695023577264286,0.9845805840655999,0.48356871349254077,0.5191361246424674,0.9255774445770465,0.002107728337236534,22390.0,0.9838170134835891,0.9631712980265653,33.28707551956177
4_Ensemble_Hybrid,Hybrid_Angular_L1_beta_0.1,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845794979188156,0.4835594649921758,0.5191350853308185,0.9255598876635819,0.002107728337236534,22371.0,0.9838170134835891,0.9631314386829434,33.11380386352539
4_Ensemble_Hybrid,Hybrid_Angular_L1_beta_0.2,0.9180093676814989,0.9893933533325004,0.9695023577264286,0.9845793730057429,0.48355877104373085,0.5191350853308185,0.9255592924314021,0.002107728337236534,22371.0,0.9838170134835891,0.9631304208402202,33.39386296272278
4_Ensemble_Hybrid,Hybrid_Angular_L1_beta_0.3,0.9180327868852459,0.9893961096470776,0.9695023577264286,0.9845792381642253,0.48355801749957594,0.5191361246424674,0.925558486919051,0.002107728337236534,22369.0,0.9838170134835891,0.9631231801202211,32.96823167800903
4_Ensemble_Hybrid,Hybrid_Angular_L1_beta_0.5,0.9180093676814989,0.9893928913219825,0.9695023577264286,0.9845788762340528,0.4835561133038246,0.5191361246424674,0.9255575470700211,0.002107728337236534,22369.0,0.9838170134835891,0.9631183646545002,32.90587306022644
4_Ensemble_Hybrid,Hybrid_Angular_L1_beta_0.7,0.9179625292740047,0.9893880946547182,0.9695023577264286,0.9845781856834485,0.48355334098439756,0.5191361246424674,0.9255551341838143,0.002107728337236534,22370.0,0.9838170134835891,0.9631207125495695,32.823330879211426
4_Ensemble_Hybrid,Hybrid_Angular_Maha_beta_0.1,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.984579572312431,0.48355990248147795,0.5191350853308185,0.925559510931513,0.002107728337236534,22368.0,0.9838170134835891,0.9631224935582797,32.85965037345886
4_Ensemble_Hybrid,Hybrid_Angular_Maha_beta_0.2,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845795252350568,0.4835596637195478,0.5191350853308185,0.9255594395038473,0.002107728337236534,22369.0,0.9838170134835891,0.9631263967589044,32.817981004714966
4_Ensemble_Hybrid,Hybrid_Angular_Maha_beta_0.3,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845794667013215,0.48355936576955033,0.5191350853308185,0.9255600404613169,0.002107728337236534,22370.0,0.9838170134835891,0.9631276978257792,32.83989381790161
4_Ensemble_Hybrid,Hybrid_Angular_Maha_beta_0.5,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845792935767862,0.48355848872839163,0.5191361246424674,0.9255586839171683,0.002107728337236534,22371.0,0.9838170134835891,0.9631318443919687,33.06703734397888
4_Ensemble_Hybrid,Hybrid_Angular_Maha_beta_0.7,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845789576136094,0.48355677716873036,0.5191361246424674,0.9255569560823438,0.002107728337236534,22369.0,0.9838170134835891,0.9631279411913444,33.10404419898987
