Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
"11_GF_Gray (r=8, eps=1e-03)",1B_Guided_Gray,guided_gray,0.4337899386882782,0.8600178431326512,0.978343665599823,0.4696602523326874,0.016481264637002342,23684,0.9437910429941055,0.9551831658608684,0.89288056206089,0.9865761453756935,0.9571428071932503,1.12
"11_GF_Gray (r=8, eps=1e-02)",1B_Guided_Gray,guided_gray,0.4270821511745453,0.8498417065541334,0.9781501293182373,0.46582600474357605,0.02221896955503513,10713,0.9424921239791576,0.9018566439497591,0.8904683840749414,0.9862757363108825,0.9556961525922354,1.12
"12_GF_RGB (r=2, eps=1e-04)",1C_Guided_RGB,guided_rgb,0.49369311332702637,0.9337910751472731,0.9850335121154785,0.5225526094436646,0.0029274004683840747,15313,0.9837790704510673,0.9473576689255987,0.9146370023419205,0.9890395306458876,0.9662378921407992,1.24
"12_GF_RGB (r=2, eps=1e-03)",1C_Guided_RGB,guided_rgb,0.4927400052547455,0.934718807576182,0.9850282073020935,0.5220249891281128,0.0029274004683840747,14292,0.9838352962402751,0.9435741039424778,0.9146370023419205,0.9890377119399291,0.9662378921407992,1.22
"12_GF_RGB (r=2, eps=1e-02)",1C_Guided_RGB,guided_rgb,0.4904637634754181,0.9301471587934131,0.9850221276283264,0.5209138989448547,0.0029274004683840747,13112,0.9838516852922555,0.9386820568981968,0.9148243559718968,0.9890589598622709,0.9662378921407992,1.23
"12_GF_RGB (r=4, eps=1e-04)",1C_Guided_RGB,guided_rgb,0.48970144987106323,0.9220742783913722,0.9839413166046143,0.5160778164863586,0.0053864168618266975,16030,0.9811653246623877,0.9481044748998962,0.9089929742388759,0.988417240897954,0.9633757462194232,1.27
"12_GF_RGB (r=4, eps=1e-03)",1C_Guided_RGB,guided_rgb,0.4864296019077301,0.9221065477346582,0.9838792085647583,0.5135717391967773,0.0053864168618266975,12330,0.9811602697966261,0.9316716330302608,0.908665105386417,0.9883724832367459,0.9633757462194232,1.28
"12_GF_RGB (r=4, eps=1e-02)",1C_Guided_RGB,guided_rgb,0.479849636554718,0.9190288624534362,0.9838173389434814,0.5101234316825867,0.006206088992974239,9612,0.9804499624930745,0.9157910420228358,0.9086651053864169,0.9883630516336293,0.9633757462194232,1.27
"12_GF_RGB (r=8, eps=1e-04)",1C_Guided_RGB,guided_rgb,0.45993131399154663,0.8723860020145572,0.9788395166397095,0.485934317111969,0.014022248243559719,37572,0.9445539835276227,0.9753000113348209,0.8923887587822015,0.9865558346860147,0.9571428071932503,1.33
"12_GF_RGB (r=8, eps=1e-03)",1C_Guided_RGB,guided_rgb,0.45205825567245483,0.8632437925646493,0.9786491394042969,0.4806281626224518,0.0156615925058548,27272,0.94372710166556,0.962037187951347,0.892552693208431,0.9865425852094544,0.9571428071932503,1.31
"12_GF_RGB (r=8, eps=1e-02)",1C_Guided_RGB,guided_rgb,0.43693941831588745,0.8503303170467783,0.9783709049224854,0.4719341993331909,0.018940281030444966,17255,0.9439748905853851,0.9385588161523987,0.891288056206089,0.9863704479183335,0.9563144853934936,1.28
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-04, boost=1.0/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48707810044288635,0.9297854991279769,0.9850948452949524,0.5217275023460388,0.0029274004683840747,12055,0.9834873787327567,0.93355858703925,0.9163231850117096,0.9892713367685684,0.967068223112533,1.16
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-04, boost=1.0/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.49082377552986145,0.9317273242515008,0.9850156307220459,0.5212512612342834,0.0029274004683840747,14477,0.9838268347142431,0.94429668890783,0.9147072599531617,0.9890511845725211,0.9662378921407992,1.18
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-04, boost=1.2/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4865822196006775,0.9306370769418566,0.9850901365280151,0.5213912129402161,0.0029274004683840747,13301,0.9838738346693868,0.9396789933723094,0.9158782201405151,0.9891877785980567,0.9678972212898315,1.17
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-04, boost=1.2/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4907398223876953,0.9388318982509095,0.9850475192070007,0.5219703912734985,0.0029274004683840747,16176,0.9841382332253523,0.9501201384703685,0.9147775175644028,0.9890339405085102,0.967068223112533,1.2
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-04, boost=1.5/1.2)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4844813644886017,0.9373727764972177,0.9850308895111084,0.520420253276825,0.0029274004683840747,15191,0.9846556819839858,0.9475391782575829,0.9144496487119438,0.9889540386706361,0.9678972212898315,1.18
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-04, boost=1.5/1.2)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48978883028030396,0.9336342172091829,0.9848716855049133,0.5230182409286499,0.002107728337236534,19174,0.9850087738774965,0.9586006505876578,0.916088992974239,0.9891251754547741,0.9687248898790964,1.17
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-04, boost=2.0/1.5)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4789443910121918,0.9403552182563837,0.984774112701416,0.5177950859069824,0.002107728337236534,18094,0.9861747620876394,0.9559816385517819,0.912224824355972,0.9885322663470986,0.9686746488153443,1.19
