Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
"30_EdgeBand (r=2, th=0.15)",3_Edge_Band_Geometry,attenuation,0.4072284400463104,0.9156240222663848,0.9820724725723267,0.464176207780838,0.004566744730679157,68150,0.9560871562356902,0.9851059118423235,0.9160421545667448,0.9893013403263284,0.9646869484166372,1.04
"30_EdgeBand (r=2, th=0.25)",3_Edge_Band_Geometry,attenuation,0.4005783498287201,0.9151316088532532,0.9819266200065613,0.4603640139102936,0.004566744730679157,67776,0.9561014635002933,0.9850110173270221,0.9160187353629976,0.9893187976230147,0.9646869484166372,1.03
"30_EdgeBand (r=2, th=0.35)",3_Edge_Band_Geometry,attenuation,0.39418619871139526,0.9146415730761911,0.9818065166473389,0.45716968178749084,0.004566744730679157,67342,0.9561171769709946,0.9848540854379843,0.9162763466042155,0.9893847288718001,0.9655171914027534,1.05
"30_EdgeBand (r=3, th=0.15)",3_Edge_Band_Geometry,attenuation,0.4083345830440521,0.9156600824505144,0.9821515083312988,0.4651689827442169,0.004566744730679157,68588,0.9560156141595241,0.9851837982325454,0.9159718969555035,0.9892899346260977,0.9646869484166372,1.19
"30_EdgeBand (r=3, th=0.25)",3_Edge_Band_Geometry,attenuation,0.40467166900634766,0.9153892453008745,0.9820492267608643,0.4625393748283386,0.004566744730679157,68432,0.9560156141595241,0.9851497476934866,0.9162763466042155,0.9893365481796336,0.9646869484166372,1.13
"30_EdgeBand (r=3, th=0.35)",3_Edge_Band_Geometry,attenuation,0.4000168442726135,0.9150374161725078,0.9819619059562683,0.46014851331710815,0.004566744730679157,68168,0.9560261775738459,0.9850573746586428,0.9166042154566745,0.9893922926534553,0.9655171914027534,1.13
"30_EdgeBand (r=5, th=0.15)",3_Edge_Band_Geometry,attenuation,0.4091217517852783,0.9155984062833267,0.9822343587875366,0.4658745527267456,0.004566744730679157,68723,0.9560156141595241,0.9851927026482059,0.9160187353629976,0.9892943980384079,0.9654617974097217,1.09
"30_EdgeBand (r=5, th=0.25)",3_Edge_Band_Geometry,attenuation,0.40749114751815796,0.9155209005114504,0.9821785092353821,0.4645673334598541,0.004566744730679157,68678,0.9560156141595241,0.9851885058971149,0.9160421545667448,0.9892993475217712,0.9646869484166372,1.08
"30_EdgeBand (r=5, th=0.35)",3_Edge_Band_Geometry,attenuation,0.4054013192653656,0.9153588714702432,0.9821306467056274,0.4634537100791931,0.004566744730679157,68580,0.9560156141595241,0.9851652862211562,0.9165339578454332,0.9893661766243043,0.9655171914027534,1.1
"30_EdgeBand (r=8, th=0.15)",3_Edge_Band_Geometry,attenuation,0.4093710780143738,0.9155087918864582,0.9822763800621033,0.46606382727622986,0.004566744730679157,68721,0.9560156141595241,0.9851844740599804,0.916112412177986,0.9893048605282873,0.9654617974097217,1.07
"30_EdgeBand (r=8, th=0.25)",3_Edge_Band_Geometry,attenuation,0.40899208188056946,0.9155109408105622,0.982255220413208,0.4656689167022705,0.004566744730679157,68703,0.9560156141595241,0.985181451269345,0.916135831381733,0.9893105751313291,0.9654617974097217,1.05
"30_EdgeBand (r=8, th=0.35)",3_Edge_Band_Geometry,attenuation,0.40813136100769043,0.9154611111260599,0.9822390079498291,0.4652324616909027,0.004566744730679157,68680,0.9560156141595241,0.9851844620772812,0.9162295081967213,0.9893308902877269,0.9646869484166372,1.04
"40_RSA_Reflection (alpha_s=0.3, alpha_g=0.3)",4_Reflection_Saliency,attenuation,0.3803996741771698,0.9111104006950552,0.9809468984603882,0.4476921260356903,0.004566744730679157,70914,0.9508075027156129,0.9850557012405067,0.9118501170960188,0.988779069649114,0.9633173344067749,1.05
"40_RSA_Reflection (alpha_s=0.3, alpha_g=0.5)",4_Reflection_Saliency,attenuation,0.3418480157852173,0.8871473849077465,0.9778661727905273,0.4087525010108948,0.007954722872755659,83046,0.9098957082670532,0.9853187198910333,0.90807962529274,0.988351113930449,0.9624899739772219,1.05
"40_RSA_Reflection (alpha_s=0.5, alpha_g=0.3)",4_Reflection_Saliency,attenuation,0.32884037494659424,0.8828569936945974,0.9767153263092041,0.39647915959358215,0.010413739266198282,83512,0.9020340371749518,0.9848925838746064,0.9048711943793911,0.9879199109681015,0.961661291885701,1.04
"40_RSA_Reflection (alpha_s=0.5, alpha_g=0.5)",4_Reflection_Saliency,attenuation,0.2946884334087372,0.8734640665120834,0.9715999364852905,0.3666931390762329,0.017650962024153925,90692,0.8350551316263554,0.9838004199363568,0.9012646370023418,0.9874802624680735,0.9594271576805555,1.03
"40_RSA_Reflection (alpha_s=0.7, alpha_g=0.3)",4_Reflection_Saliency,attenuation,0.2702455520629883,0.8160161271000517,0.9651451110839844,0.34737375378608704,0.02256899481103917,92642,0.7759086865571418,0.9830788023485206,0.8977049180327868,0.9870057050692843,0.9565915898899955,1.04
"40_RSA_Reflection (alpha_s=0.7, alpha_g=0.5)",4_Reflection_Saliency,attenuation,0.24362792074680328,0.7987955177991019,0.9555184841156006,0.32775628566741943,0.027077191532350643,95947,0.6857982918999622,0.9806297610583222,0.8952224824355973,0.9866780162248463,0.9553428527480827,1.03
"50_DP_GCG_Coherence (coh_th=0.4, alpha_g=0.4)",5_Defect_Preserving_Gating,attenuation,0.41196590662002563,0.907934816257373,0.9803416728973389,0.4524027109146118,0.0029274004683840747,112151,0.9567464675271665,0.9908134185210794,0.9152459016393442,0.9892387450090468,0.9648561800646148,1.23
"50_DP_GCG_Coherence (coh_th=0.4, alpha_g=0.6)",5_Defect_Preserving_Gating,attenuation,0.3888140618801117,0.8858168204289041,0.9762994647026062,0.433256059885025,0.0029274004683840747,129766,0.9282630283012593,0.9915615825256379,0.9142154566744731,0.9891265318121047,0.9646301750989986,1.17
"50_DP_GCG_Coherence (coh_th=0.6, alpha_g=0.4)",5_Defect_Preserving_Gating,attenuation,0.42166149616241455,0.9135903231887121,0.9805431962013245,0.4585125744342804,0.002107728337236534,90823,0.9608801335006122,0.9893273153792502,0.9160772833723654,0.9893359062012457,0.965627448032304,1.12
"50_DP_GCG_Coherence (coh_th=0.6, alpha_g=0.6)",5_Defect_Preserving_Gating,attenuation,0.4017018973827362,0.8945278035249575,0.9766178131103516,0.4427601397037506,0.002107728337236534,103141,0.9349949838506972,0.9901666644872013,0.9146370023419204,0.9891593931343754,0.965627448032304,1.17
"50_DP_GCG_Coherence (coh_th=0.8, alpha_g=0.4)",5_Defect_Preserving_Gating,attenuation,0.4366600513458252,0.9068710612045633,0.9811452627182007,0.47020423412323,0.002107728337236534,64518,0.9656900771954237,0.9860860756302835,0.9163231850117096,0.9893415274182347,0.965627448032304,1.31
"50_DP_GCG_Coherence (coh_th=0.8, alpha_g=0.6)",5_Defect_Preserving_Gating,attenuation,0.42142489552497864,0.8900519077275721,0.9776676893234253,0.45900025963783264,0.002107728337236534,70963,0.9453489323132872,0.9871169966784177,0.915831381733021,0.9892871121243385,0.965627448032304,1.18
60_Hybrid_Balanced,6_Hybrid_MultiFactor,attenuation,0.42407485842704773,0.9152958776178354,0.980762243270874,0.4610319137573242,0.002107728337236534,86170,0.9619906044296702,0.9888775667347925,0.9159718969555035,0.9893187802696601,0.965627448032304,1.16
61_Hybrid_Curv_Dominant,6_Hybrid_MultiFactor,attenuation,0.4360719323158264,0.9156917861858079,0.981795072555542,0.47387441992759705,0.002107728337236534,81827,0.9696192134154329,0.9884829446170447,0.9171428571428571,0.9894593207805161,0.965627448032304,1.18
62_Hybrid_Grad_Dominant,6_Hybrid_MultiFactor,attenuation,0.4073530435562134,0.8981200361568471,0.9770309925079346,0.44795873761177063,0.002107728337236534,93007,0.9381647075902287,0.989384852621679,0.9146135831381733,0.9891498386174739,0.965627448032304,1.2
63_Hybrid_High_Suppression,6_Hybrid_MultiFactor,attenuation,0.3644300699234009,0.8454001846613742,0.9650272727012634,0.4140910804271698,0.004976580796252927,140841,0.8632133496722406,0.9918032053471778,0.9125292740046839,0.9889132508458283,0.9638553717069106,1.16
64_Hybrid_Conservative,6_Hybrid_MultiFactor,attenuation,0.4484097361564636,0.9299585187968253,0.9829796552658081,0.4848831295967102,0.002107728337236534,58595,0.9748499897310314,0.984825788364704,0.9169320843091335,0.9894045744735624,0.9663461038713249,1.12
70_Synergy_60_Hybrid_Balanced+TwoStage_k0_p0,7_Full_Pipeline_Synergy,attenuation,0.42405790090560913,0.9034521213845936,0.980737566947937,0.4610006809234619,0.002107728337236534,86128,0.9616964601322912,0.988875247463615,0.9141217798594848,0.9891192380830947,0.9640861431711564,1.56
70_Synergy_60_Hybrid_Balanced+Direct_k0_p0,7_Full_Pipeline_Synergy,attenuation,0.42407485842704773,0.9152958776178354,0.980762243270874,0.4610319137573242,0.002107728337236534,86170,0.9619906044296702,0.9888775667347925,0.9159718969555035,0.9893187802696601,0.965627448032304,1.1
70_Synergy_60_Hybrid_Balanced+TwoStage_k0_p15,7_Full_Pipeline_Synergy,attenuation,0.4318138659000397,0.9107385328783845,0.9813680052757263,0.46950265765190125,0.005953758552601367,52658,0.9135398050471997,0.9787742993537626,0.907400468384075,0.9881716573726929,0.9631999500288027,1.63
70_Synergy_60_Hybrid_Balanced+Direct_k0_p15,7_Full_Pipeline_Synergy,attenuation,0.4318124055862427,0.9107614562594102,0.9813596606254578,0.46952590346336365,0.005953758552601367,52756,0.9132140860169456,0.9787870275043238,0.9097658079625293,0.9884318567357357,0.9648561800646148,1.49
70_Synergy_60_Hybrid_Balanced+TwoStage_k0_p20,7_Full_Pipeline_Synergy,attenuation,0.43240028619766235,0.9213165098005824,0.9813699722290039,0.47019800543785095,0.006773430683748909,50866,0.9089005109732516,0.9775765753086383,0.9068618266978923,0.9880917530304222,0.9631999500288027,1.8
70_Synergy_60_Hybrid_Balanced+Direct_k0_p20,7_Full_Pipeline_Synergy,attenuation,0.4323992133140564,0.9212830271311283,0.9813605546951294,0.4702199101448059,0.006773430683748909,50963,0.9090439636414318,0.9777650694973892,0.9092037470725995,0.9883504379205732,0.9640861431711564,1.56
70_Synergy_60_Hybrid_Balanced+TwoStage_k0_p25,7_Full_Pipeline_Synergy,attenuation,0.43286335468292236,0.916870357911735,0.9813531041145325,0.47082483768463135,0.008412774946043991,49210,0.90487280755613,0.9769421901563091,0.9066042154566745,0.9880566850625837,0.9631999500288027,1.73
70_Synergy_60_Hybrid_Balanced+Direct_k0_p25,7_Full_Pipeline_Synergy,attenuation,0.43286260962486267,0.9168534597930316,0.9813423156738281,0.4708615839481354,0.00759310281489645,49262,0.904939478570077,0.9769668775922955,0.9087353629976581,0.9882915815591002,0.9640287270091226,1.55
70_Synergy_60_Hybrid_Balanced+TwoStage_k3_p0,7_Full_Pipeline_Synergy,attenuation,0.4035489559173584,0.908800101939401,0.9812998175621033,0.4511759579181671,0.004566744730679157,30052,0.9534892630487549,0.9675489866304118,0.9156206088992973,0.989364312130542,0.963022458057198,1.31
70_Synergy_60_Hybrid_Balanced+Direct_k3_p0,7_Full_Pipeline_Synergy,attenuation,0.4035666584968567,0.9180338972296421,0.9813264608383179,0.45121049880981445,0.004566744730679157,30048,0.9536286950806594,0.9675902674054376,0.9174941451990631,0.9895676230889049,0.9637972146993422,1.15
70_Synergy_60_Hybrid_Balanced+TwoStage_k3_p15,7_Full_Pipeline_Synergy,attenuation,0.41186144948005676,0.9217559427646002,0.9820238947868347,0.4607242941856384,0.016814414290306286,18146,0.8973088819806543,0.94472716494822,0.9074941451990634,0.9882558256804264,0.9624300059859412,1.7
70_Synergy_60_Hybrid_Balanced+Direct_k3_p15,7_Full_Pipeline_Synergy,attenuation,0.4118611514568329,0.9217647213997291,0.9820157885551453,0.46076956391334534,0.016814414290306286,18209,0.8969839985965118,0.945165263952015,0.9103981264637002,0.9885841950780155,0.9627869651015059,1.45
70_Synergy_60_Hybrid_Balanced+TwoStage_k3_p20,7_Full_Pipeline_Synergy,attenuation,0.4124490022659302,0.9175226814956039,0.9820535182952881,0.4613981544971466,0.018453758552601368,17592,0.8929028625804266,0.9427315637307566,0.9072833723653396,0.9882265324497315,0.961476675543443,1.59
70_Synergy_60_Hybrid_Balanced+Direct_k3_p20,7_Full_Pipeline_Synergy,attenuation,0.4124499559402466,0.9175160870286532,0.9820451140403748,0.46143844723701477,0.017634086421453827,17662,0.8930983332122168,0.9432037699275719,0.9101639344262296,0.9885508892495324,0.9627869651015059,1.44
70_Synergy_60_Hybrid_Balanced+TwoStage_k3_p25,7_Full_Pipeline_Synergy,attenuation,0.4128832221031189,0.9266534564889304,0.9820475578308105,0.46197497844696045,0.01927343068374891,17080,0.8890833589974426,0.9412037264832518,0.9069086651053863,0.9881735665026419,0.9614147410153974,1.65
70_Synergy_60_Hybrid_Balanced+Direct_k3_p25,7_Full_Pipeline_Synergy,attenuation,0.4128841161727905,0.9266204161304338,0.9820394515991211,0.46200165152549744,0.02009310281489645,17132,0.8885425752390075,0.9416235163617938,0.9095081967213114,0.9884646853432536,0.9627869651015059,1.54
70_Synergy_61_Hybrid_Curv_Dominant+TwoStage_k0_p0,7_Full_Pipeline_Synergy,attenuation,0.4360532760620117,0.9178327909849907,0.9817692041397095,0.47386598587036133,0.002107728337236534,81815,0.9695591420039245,0.9884795980019282,0.9158782201405152,0.9893225225527257,0.9642572971488549,1.29
