Config_Name,Category,Method,Param_Detail,Total_ROIs,ROIs_per_Mid_Img,R-FP-RegionCount,R-MissRate,R-PixelCoverage,R-FPR,P-AUROC,P-AP,P-F1,P-AUPRO,I-AUROC,I-AP,I-F1,Elapsed_s
"2. Local Top-5 vMF KDE (sigma=0.15, beta=0.5)",2_Local_TopK_KDE,Local_vMF_KDE,"Top-k=5, sigma=0.15, beta=0.5",5838,33.6,21530,0.0029274004683840747,0.9834486552785724,0.9605851652369771,0.9849759863499756,0.4871960474737299,0.5221871408688372,0.942128871747969,0.9201405152224825,0.9896062646218303,0.9703762510677902,8.56
"2. Local Top-10 vMF KDE (sigma=0.15, beta=0.5)",2_Local_TopK_KDE,Local_vMF_KDE,"Top-k=10, sigma=0.15, beta=0.5",5838,33.6,21514,0.0029274004683840747,0.9834486552785724,0.9604886215456283,0.9849722022917338,0.4871883873033291,0.5221842030872907,0.9420990560367791,0.9205854800936768,0.9896603519608486,0.9711537961790172,8.44
"2. Local Top-20 vMF KDE (sigma=0.15, beta=0.5)",2_Local_TopK_KDE,Local_vMF_KDE,"Top-k=20, sigma=0.15, beta=0.5",5838,33.6,21497,0.0029274004683840747,0.9834486552785724,0.9603123862274757,0.9849678755404938,0.4871797083032386,0.522178327489157,0.9420799163480383,0.9213817330210774,0.9897529451310425,0.9711537961790172,8.53
"2. Local Top-50 vMF KDE (sigma=0.15, beta=0.5)",2_Local_TopK_KDE,Local_vMF_KDE,"Top-k=50, sigma=0.15, beta=0.5",5838,33.6,21479,0.0029274004683840747,0.9834486552785724,0.9602251882026962,0.9849594768817139,0.48716264989525676,0.522172451844302,0.9421151925076554,0.9222950819672131,0.9898583698297033,0.9719325883554397,8.6
"3. PCA(32)+GMM(1 comp, diag)",3_PCA_GMM,PCA_GMM,"d=32, K=1, cov=diag",5838,33.6,22120,0.002107728337236534,0.9842683274097199,0.9625032774578021,0.9849084219046695,0.4870681550804005,0.5221130065441855,0.9427438779797737,0.9258313817330212,0.990319675562764,0.969793272780124,9.89
"3. PCA(32)+GMM(1 comp, full)",3_PCA_GMM,PCA_GMM,"d=32, K=1, cov=full",5838,33.6,22048,0.002107728337236534,0.9842683274097199,0.9623887545084453,0.9849146484399001,0.487197647126144,0.5221995769157708,0.9432259826610022,0.9220843091334895,0.9899630386381961,0.9646869484166372,10.18
"3. PCA(32)+GMM(2 comp, diag)",3_PCA_GMM,PCA_GMM,"d=32, K=2, cov=diag",5838,33.6,21847,0.002107728337236534,0.9842683274097199,0.9617303590388336,0.9849182323296974,0.487084270292946,0.5221211346474526,0.9427518878400889,0.926135831381733,0.990354045342133,0.9702810745181556,9.9
"3. PCA(32)+GMM(2 comp, full)",3_PCA_GMM,PCA_GMM,"d=32, K=2, cov=full",5838,33.6,21829,0.002107728337236534,0.9842683274097199,0.9615932089323026,0.9849162649907434,0.4871753970553145,0.5221937015189202,0.9431532136227695,0.921311475409836,0.9898703678662524,0.9634339723031764,10.44
"3. PCA(32)+GMM(4 comp, diag)",3_PCA_GMM,PCA_GMM,"d=32, K=4, cov=diag",5838,33.6,21985,0.002107728337236534,0.9842683274097199,0.9620948905559665,0.9849446777285477,0.4872042132652256,0.5221899021915851,0.943339681670359,0.9233723653395784,0.9900451800768368,0.9681528162831176,10.25
"3. PCA(32)+GMM(4 comp, full)",3_PCA_GMM,PCA_GMM,"d=32, K=4, cov=full",5838,33.6,21591,0.002107728337236534,0.9842683274097199,0.9606481572522426,0.9849186519357174,0.4871547611302848,0.5221995769157708,0.9430712943031736,0.9209836065573771,0.9897939230601692,0.9671210406409249,10.49
"3. PCA(32)+GMM(8 comp, diag)",3_PCA_GMM,PCA_GMM,"d=32, K=8, cov=diag",5838,33.6,21784,0.002107728337236534,0.9842683274097199,0.9615110352717089,0.9849290560748221,0.48719018443626944,0.5221937015189202,0.9433322236058354,0.9233255269320844,0.9900921763527091,0.9673826071634513,10.08
"3. PCA(32)+GMM(8 comp, full)",3_PCA_GMM,PCA_GMM,"d=32, K=8, cov=full",5838,33.6,21508,0.002107728337236534,0.9838584913441462,0.9604153192375546,0.984973001098418,0.48723989619188146,0.5221985388487391,0.942820636931354,0.9180796252927401,0.9894354995893875,0.9657370018317194,10.8
"3. PCA(16)+GMM(4 comp, diag)",3_PCA_GMM,PCA_GMM,"d=16, K=4, cov=diag",5838,33.6,22022,0.002107728337236534,0.9842683274097199,0.9623222680663025,0.9849129070067748,0.48714446632607594,0.5221755660074443,0.9431567303627612,0.9233957845433255,0.9900466189612005,0.96887465075296,10.06
"3. PCA(64)+GMM(4 comp, diag)",3_PCA_GMM,PCA_GMM,"d=64, K=4, cov=diag",5838,33.6,21807,0.002107728337236534,0.9842683274097199,0.9614444323408338,0.9849458522018713,0.4871820991247864,0.5221772894354774,0.9432770392207521,0.9241686182669789,0.9901415906533257,0.9686746488153443,10.1
"3. PCA(128)+GMM(4 comp, diag)",3_PCA_GMM,PCA_GMM,"d=128, K=4, cov=diag",5838,33.6,21435,0.002107728337236534,0.9842683274097199,0.9601135281420116,0.9849889807310352,0.48722792185404656,0.5221733135768908,0.9428318413776885,0.9226463700234192,0.9898995037120712,0.9712459564224423,10.05
4. PCA(32)+KDE(bw=0.1),4_PCA_KDE,PCA_KDE,"d=32, bw=0.1, Gaussian",5838,33.6,22029,0.002107728337236534,0.9842683274097199,0.9622828865701896,0.984928433263064,0.48714828027954193,0.5221520628701555,0.9427800779060223,0.9237939110070258,0.9900681398436835,0.9712459564224423,12.11
